1,"gue itu kalo udah cemburu sama 1 orang, sampe kiamat pun gue ga akan pernah suka kl lo berinteraksi dlm bentuk apapun sama 1 orang ini",non_sara
2,semalem mimpi minum soju 1 krat apakah ini yg dinamakan cobaan orang yg udah tobat,non_sara
3,"Buat kalian yg pengen nangis, denger lagu Pamungkas aja, sambil baca lirik ok?",non_sara
4,"Permasalahan kita sebenernya itu ada dua, yaitu rasa ga enakan dan over thinkingan.",non_sara
5,"Bukannya ga mau sukses,tapi aku masih betah jadi beban.",non_sara
6,"Kau bukan tidak bisa move on, kau hanya tidak sungguh-sungguh mau melakukannya",non_sara
7,"Jadi pengen punya usaha sendiri, biar kalau mau kumpul keluarga ngk harus mikir kapan ambil cuti",non_sara
8,"Berteman kok pilih-pilih?? Oh iya jelas lah, kamu beli baju ajah pilih-pilih dulu kan? ga mungkin dong beli baju yg robek, pasti pilih yg bagus kn, pilih teman juga kaya gitu, nyari yg bagus, iyah bagus ahlaknya, pergaulannya, bisa dipercaya orangnya.",non_sara
9,aku gemes bgt sama mereka ya ampun,non_sara
10,"Mohon ijin pak, biasanya yang ngawal itu di depan",non_sara
11,terlalu miskin buat memahami jokes seperti ini,non_sara
12,Babi Selain Rakus juga Mempunyai Kebiasaan Mandi di lumpur,non_sara
13,"Hari Kedua Pencarian Korban Bus Sriwijaya, 35 Orang Tewas",non_sara
14,"iya aku juga sekarang hampir kayak kamu nder, aku juga mikir selama masih bisa bertahan hidup kenapa harus repot. tapi yah .. gak asik nder gak ada cerita hidup ke anak nanti wkwkwk",non_sara
15,Kecelakaan terjadi di Tol Jagorawi Km 42 arah Jakarta. Petugas sedang menangani kecelakaan itu.,non_sara
16,boneka babi memang keliatan lucu sih hehe,non_sara
17,"Ada temen anti sama negara cina, tapi usahanya impor barang dari negara cina",non_sara
18,Hujan deras disertai angin kencang mengguyur sejumlah wilayah di Kediri. Dalam guyuran hujan tersebut juga terdapat butiran es.,non_sara
19,"Belajar dari pengalaman klien dan teman-temanku, sebelum menikah ada baiknya mendiskusikan hal-hal yang berkaitan dengan: 1. Emosional 2. Seksual 3. Finansial 4. Spiritual Karena 4 hal ini bisa bikin rumah tangga bahagia tapi juga mungkin berakhir nestapa karena 4 hal ini",non_sara
20,"Menurut sebagian orang, pacaran di pinggir jalan tuh norak dan aneh, dulu pun aku sempat berpikir begitu",non_sara
21,Teluk Palu Telah Dijual ke Negara Cina?,non_sara
22,Tau banget gimana prosesnya kak upil sama bubu. Ngikutin kak upil pas masih disakitin terus nangis pas ultah mantannya.,non_sara
23,"rasanya beribu ucapan terima kasih pun ga akan cukup untuk ngungkapin segimana terima kasihnya gue sama dia. terimakasih udah bikin aku mulai bisa mencintai diri sendiri, merasa bersyukur dengan hidup, dan merasa bahagia banget banget.",non_sara
24,"""ini tuh bener bener mudah banget pecah, ga pernah gak pecah gangerti kenapa""",non_sara
25,guys rekomen tempat wisata di bandung yg bisa di datengin di musim ujan gini dong hehe,non_sara
26,"Jangan jatuh cinta padaku mood swing ku parah, aku suudzon-an, susah percaya, karena berkali-kali dikecewakan, aku suka tiba-tiba sedih, bahkan aku gatau sebabnya. kamu tidak akan siap menghadapi aku yg begitu. Mentalku kacau Dan sepertinya akupun belum siap jatuh cinta lagi",non_sara
27,"Melihat kawan yang sudah bisa bahagia lagi setelah disakiti, membuat aku yakin kalau aku juga akan dihargai, disayang, dan dimiliki oleh orang yg lebih pantas nantinya",non_sara
